Eingegangen am;Mangel Nr.;Typ;Status
25.06.2018 15:49:01;405;Defekte Ampelanlagen oder Verkehrsschilder;Behoben
25.06.2018 17:43:36;406;Straßenschäden;In Bearbeitung
27.06.2018 11:37:22;407;Sonstige Mängel;Behoben
27.06.2018 11:38:18;408;Sonstige Mängel;Behoben
27.06.2018 15:06:08;409;Straßen- und Gehwegverunreinigung;In Bearbeitung
27.06.2018 19:15:57;410;Parkverstöße;Behoben
28.06.2018 16:31:21;411;Parkverstöße;Behoben
28.06.2018 22:33:08;412;Lärm- oder Geruchsbelästigung;In Bearbeitung
29.06.2018 12:53:22;413;Parkverstöße;Behoben
29.06.2018 12:55:08;414;Parkverstöße;Behoben
29.06.2018 14:57:56;415;Sonstige Mängel;In Bearbeitung
29.06.2018 15:12:36;416;Parkverstöße;Behoben
30.06.2018 11:26:08;417;Defekte Ampelanlagen oder Verkehrsschilder;Behoben
30.06.2018 21:39:43;418;Straßenschäden;Behoben
01.07.2018 06:17:00;419;Parkverstöße;Behoben
01.07.2018 15:33:38;420;Sonstige Mängel;Behoben
02.07.2018 09:53:54;421;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
02.07.2018 11:11:42;422;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
02.07.2018 16:49:14;423;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
02.07.2018 17:32:48;424;Sonstige Mängel;Abgelehnt
02.07.2018 20:03:19;425;Defekte Straßenbeleuchtung;Behoben
04.07.2018 00:58:37;426;Parkverstöße;Behoben
04.07.2018 01:05:27;427;Parkverstöße;Behoben
04.07.2018 01:21:27;428;Abgestellte Autos ohne Kennzeichen;Behoben
04.07.2018 01:25:58;429;Abgestellte Autos ohne Kennzeichen;Behoben
04.07.2018 01:28:54;430;Abgestellte Autos ohne Kennzeichen;Behoben
04.07.2018 01:34:23;431;Parkverstöße;Behoben
04.07.2018 09:43:10;432;Sonstige Mängel;Behoben
04.07.2018 13:40:53;433;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
04.07.2018 13:59:56;434;Parkverstöße;Behoben
04.07.2018 21:17:53;435;Lärm- oder Geruchsbelästigung;In Bearbeitung
05.07.2018 00:43:24;436;Parkverstöße;Behoben
05.07.2018 06:50:53;437;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
05.07.2018 19:30:36;438;Parkverstöße;Behoben
06.07.2018 07:58:53;439;Lärm- oder Geruchsbelästigung;In Bearbeitung
06.07.2018 18:35:43;440;Probleme mit Tieren (zum Beispiel Wespen, Hornissen, Hunde);Behoben
07.07.2018 20:45:34;441;Parkverstöße;Behoben
09.07.2018 21:25:30;442;Abgestellte Autos ohne Kennzeichen;Behoben
09.07.2018 21:27:03;443;Parkverstöße;Behoben
09.07.2018 21:32:38;444;Sonstige Mängel;Behoben
09.07.2018 23:13:07;445;Defekte Straßenbeleuchtung;Behoben
11.07.2018 10:10:03;446;Lärm- oder Geruchsbelästigung;Abgelehnt
11.07.2018 10:12:38;447;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
11.07.2018 15:30:51;448;Parkverstöße;Behoben
11.07.2018 18:11:38;449;Probleme mit Tieren (zum Beispiel Wespen, Hornissen, Hunde);Behoben
12.07.2018 07:47:26;450;Parkverstöße;Behoben
12.07.2018 13:24:25;451;Sonstige Mängel;Behoben
12.07.2018 15:28:48;452;Straßenschäden;Abgelehnt
13.07.2018 05:45:10;453;Parkverstöße;Behoben
13.07.2018 08:11:59;454;Sonstige Mängel;Behoben
14.07.2018 09:45:41;455;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
14.07.2018 21:14:44;456;Sonstige Mängel;Behoben
15.07.2018 12:57:20;457;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
15.07.2018 19:14:44;458;Straßenschäden;Behoben
16.07.2018 16:36:55;459;Sonstige Mängel;In Bearbeitung
16.07.2018 17:19:52;460;Defekte Ampelanlagen oder Verkehrsschilder;Abgelehnt
17.07.2018 15:58:49;461;Parkverstöße;Behoben
18.07.2018 19:52:46;462;Defekte Ampelanlagen oder Verkehrsschilder;Behoben
20.07.2018 07:39:52;463;Mülltonnen nicht geleert oder verschwunden;Behoben
20.07.2018 10:54:37;464;Probleme mit Tieren (zum Beispiel Wespen, Hornissen, Hunde);In Bearbeitung
